name	domain
Vitale Barberis Canonico	firms
Weihenstephan brewery	firms
Weltenburger brewery	firms
Yamamotoyama	firms
Yamasa Corporation	firms
Zaiso Lumber	firms
Éditions Henry Lemoine	firms
Barreau du Québec	legal traditions
Birmingham Law Society	legal traditions
Bristol Law Society	legal traditions
Devon and Exeter Law Society	legal traditions
Doctors’ Commons	legal traditions
Douai community of advocates	legal traditions
Essex County Bar Association	legal traditions
Faculty of Advocates	legal traditions
Gloucester Law Society	legal traditions
Gray’s Inn	legal traditions
Honorable Society of King’s Inns	legal traditions
Hull Law Society	legal traditions
Ilustre y Nacional Colegio de Abogados de México	legal traditions
Inner Temple	legal traditions
Kent Law Society	legal traditions
Law Society of Ontario	legal traditions
Leeds Law Society	legal traditions
Lincoln’s Inn	legal traditions
Madrid Bar Association	legal traditions
Manchester Law Society	legal traditions
Massachusetts Supreme Judicial Court	legal traditions
Middle Temple	legal traditions
New York City Bar Association	legal traditions
Philadelphia Bar Association / Law Library Company	legal traditions
Plymouth Law Society	legal traditions
Real e Ilustre Colegio de Abogados de Zaragoza	legal traditions
Royal Faculty of Procurators in Glasgow	legal traditions
Serjeants’ Inn, Chancery Lane	legal traditions
Society of Advocates in Aberdeen	legal traditions
Society of Gentlemen Practisers	legal traditions
Society of Writers to His Majesty’s Signet	legal traditions
Somerset Law Society	legal traditions
Sunderland Law Society	legal traditions
Water Tribunal of Valencia	legal traditions
Yorkshire Law Society	legal traditions
American Institute of Architects	professions / guilds
American Institute of Mining Engineers predecessor	professions / guilds
American Medical Association	professions / guilds
Apothecaries’ Society	professions / guilds
Armourers and Brasiers’ Company	professions / guilds
Bakers’ Company	professions / guilds
Basketmakers’ Company	professions / guilds
Blacksmiths’ Company	professions / guilds
Bowyers’ Company	professions / guilds
Brewers’ Company	professions / guilds
British Medical Association	professions / guilds
Broderers’ Company	professions / guilds
Butchers’ Company	professions / guilds
Carmen	professions / guilds
Carpenters’ Company	professions / guilds
Chartered College of Teaching / College of Preceptors	professions / guilds
Clockmakers’ Company	professions / guilds
Clothworkers’ Company	professions / guilds
Coachmakers and Coach Harness Makers	professions / guilds
Company of Cutlers in Hallamshire	professions / guilds
Company of Merchants of the Staple of England	professions / guilds
Cooks’ Company	professions / guilds
Coopers’ Company	professions / guilds
Cordwainers’ Company	professions / guilds
Corporation of Trinity House	professions / guilds
Curriers’ Company	professions / guilds
Cutlers’ Company	professions / guilds
Distillers’ Company	professions / guilds
Dyers’ Company	professions / guilds
Faculty of Actuaries	professions / guilds
Fan Makers	professions / guilds
Farriers’ Company	professions / guilds
Feltmakers’ Company	professions / guilds
Fishmongers’ Company	professions / guilds
Fletchers’ Company	professions / guilds
Founders’ Company	professions / guilds
Framework Knitters’ Company	professions / guilds
Fruiterers’ Company	professions / guilds
Gardeners’ Company	professions / guilds
Girdlers’ Company	professions / guilds
Glass Sellers’ Company	professions / guilds
Glaziers and Painters of Glass	professions / guilds
Glovers’ Company	professions / guilds
Gold and Silver Wyre Drawers	professions / guilds
Goldsmiths’ Company	professions / guilds
Grocers—see above	professions / guilds
Grocers’ Company	professions / guilds
Gunmakers’ Company	professions / guilds
Haberdashers—see above	professions / guilds
Haberdashers’ Company	professions / guilds
Horners’ Company	professions / guilds
Incorporation of Surgeons and Barbers of Edinburgh / RCSEd	professions / guilds
Innholders’ Company	professions / guilds
Institute of Actuaries	professions / guilds
Institution of Civil Engineers	professions / guilds
Institution of Mechanical Engineers	professions / guilds
Ironmongers’ Company	professions / guilds
Joiners and Ceilers’ Company	professions / guilds
Law Society of England and Wales	professions / guilds
Leathersellers’ Company	professions / guilds
Makers of Playing Cards	professions / guilds
Masons’ Company	professions / guilds
Mercers’ Company	professions / guilds
Merchant Adventurers of York	professions / guilds
Merchant Taylors’ Company	professions / guilds
Musicians’ Company	professions / guilds
Needlemakers’ Company	professions / guilds
Painter-Stainers’ Company	professions / guilds
Pattenmakers’ Company	professions / guilds
Paviors’ Company	professions / guilds
Pewterers’ Company	professions / guilds
Pharmaceutical Society of Great Britain / Royal Pharmaceutical Society	professions / guilds
Plaisterers’ Company	professions / guilds
Plumbers’ Company	professions / guilds
Poulters’ Company	professions / guilds
Royal Aeronautical Society	professions / guilds
Royal College of Physicians of London	professions / guilds
Royal College of Surgeons of England	professions / guilds
Royal College of Veterinary Surgeons	professions / guilds
Royal Institute of British Architects	professions / guilds
Royal Institution of Chartered Surveyors	professions / guilds
Saddlers’ Company	professions / guilds
Salters’ Company	professions / guilds
Scriveners’ Company	professions / guilds
Shipwrights’ Company	professions / guilds
Shrewsbury Drapers Company	professions / guilds
Skinners’ Company	professions / guilds
Society of Engineers	professions / guilds
Society of Merchant Venturers, Bristol	professions / guilds
Spectacle Makers’ Company	professions / guilds
Stationers’ Company	professions / guilds
Tallow Chandlers’ Company	professions / guilds
Tin Plate Workers alias Wire Workers	professions / guilds
Trades House of Glasgow	professions / guilds
Turners’ Company	professions / guilds
Tylers and Bricklayers’ Company	professions / guilds
Upholders’ Company	professions / guilds
Vintners’ Company	professions / guilds
Watermen and Lightermen of the Thames	professions / guilds
Wax Chandlers’ Company	professions / guilds
Weavers, Fullers and Shearmen of Exeter	professions / guilds
Weavers’ Company	professions / guilds
Wheelwrights’ Company	professions / guilds
Woolmen’s Company	professions / guilds
Worcester Clothiers’ Company	professions / guilds
Worshipful Company of Parish Clerks	professions / guilds
York Cordwainers	professions / guilds
York Merchant Taylors	professions / guilds
American Anti-Slavery Society	reform movements
American Colonization Society	reform movements
American Equal Rights Association	reform movements
American Peace Society	reform movements
American Society for the Prevention of Cruelty to Animals	reform movements
American Temperance Society	reform movements
American Temperance Union	reform movements
American Woman Suffrage Association	reform movements
American and Foreign Anti-Slavery Society	reform movements
Anti-Corn Law League	reform movements
Anti-Saloon League of America	reform movements
Anti-Slavery International / British and Foreign Anti-Slavery Society	reform movements
Congressional Union / National Woman’s Party	reform movements
Howard League for Penal Reform / Howard Association	reform movements
Massachusetts Peace Society	reform movements
Movendi International / Independent Order of Good Templars	reform movements
National American Woman Suffrage Association	reform movements
National Woman Suffrage Association	reform movements
New York Female Moral Reform Society / American Female Guardian Society	reform movements
New York Manumission Society	reform movements
Pennsylvania Abolition Society	reform movements
Philadelphia Female Anti-Slavery Society	reform movements
Providence Society for Abolishing the Slave Trade	reform movements
Royal Society for the Prevention of Cruelty to Animals	reform movements
Society for Effecting the Abolition of the Slave Trade	reform movements
Washingtonian Temperance Society	reform movements
Woman’s Christian Temperance Union	reform movements
Arya Samaj	religions
Baháʼí community	religions
Brahmo Samaj	religions
Carmelite Order	religions
Carthusian Order	religions
Church of Jesus Christ of Latter-day Saints	religions
Cistercian Order	religions
Congregation of the Mission / Vincentians	religions
Dominican Order / Order of Preachers	religions
Franciscan Order / Friars Minor	religions
Knights Hospitaller / Order of St John	religions
Knights Templar	religions
Methodist Episcopal Church	religions
Methodist United Societies	religions
Moravian Church / Unitas Fratrum	religions
Order of Friars Minor Capuchin	religions
Order of Saint Augustine / Augustinian Hermits	religions
Order of Saint Benedict / Benedictines	religions
Poor Clares / Order of St Clare	religions
Premonstratensian Order / Norbertines	religions
Religious Society of Friends	religions
Religious Society of Friends / Quakers	religions
Salvation Army / Christian Mission	religions
Servite Order	religions
Seventh-day Adventist Church / General Conference	religions
Society of Jesus	religions
Society of Jesus / Jesuits	religions
Tenrikyo	religions
Académie des Jeux floraux	scholarly disciplines
Académie des Jeux floraux / Consistori del Gay Saber	scholarly disciplines
Académie française	scholarly disciplines
Académie française, original/restored body	scholarly disciplines
Académie royale des sciences, original body	scholarly disciplines
Accademia dei Lincei	scholarly disciplines
Accademia dei Lincei, original body	scholarly disciplines
Accademia della Crusca	scholarly disciplines
American Academy of Arts and Sciences	scholarly disciplines
American Philosophical Society	scholarly disciplines
American Society for Premodern Asia, formerly American Oriental Society	scholarly disciplines
Berlin Society/Prussian Academy of Sciences	scholarly disciplines
British Association for the Advancement of Science	scholarly disciplines
Chemical Society of London	scholarly disciplines
French Academy of Sciences	scholarly disciplines
Geological Society of London	scholarly disciplines
Linnean Society of London	scholarly disciplines
Royal Astronomical Society	scholarly disciplines
Royal Dublin Society	scholarly disciplines
Royal Geographical Society	scholarly disciplines
Royal Historical Society	scholarly disciplines
Royal Irish Academy	scholarly disciplines
Royal Society	scholarly disciplines
Royal Society of Antiquaries of Ireland	scholarly disciplines
Royal Society of Edinburgh	scholarly disciplines
Royal Society of London	scholarly disciplines
Royal Statistical Society	scholarly disciplines
Society of Antiquaries of London	scholarly disciplines
Society of Antiquaries of Scotland	scholarly disciplines
Sodalitas Litterarum Vistulana	scholarly disciplines
Austrian Empire	states / administrations
Belgium	states / administrations
Board of Admiralty	states / administrations
Board of Trade and Plantations	states / administrations
British Foreign Office	states / administrations
British Home Office	states / administrations
British Privy Council	states / administrations
Colonial Office (separate department)	states / administrations
Conseil d’État (France)	states / administrations
Council of the Indies	states / administrations
Danish Secret Archive (Gehejmearkivet)	states / administrations
General Land Office	states / administrations
German Empire	states / administrations
Kingdom of Italy	states / administrations
Kingdom of Norway	states / administrations
Kingdom of the Netherlands	states / administrations
Swedish National Archives (Riksarkivet)	states / administrations
Swiss federal state	states / administrations
United States Department of State	states / administrations
United States Department of the Treasury	states / administrations
United States Post Office Department	states / administrations
United States federal government	states / administrations
