name	domain	earliest_own_aim	agent_id	notes
Sons of Temperance	civic / fraternal orders	yes	11c1e730-504f-41cf-9337-299e9ed54f7a	1845 revised constitution; record ends 1967
Order of United American Mechanics	civic / fraternal orders	yes	a923db0e-8b57-4379-8110-763c24348e20	July 1845 minutes via Lichliter 1909
United Grand Lodge of England / Premier Grand Lodge lineage	civic / fraternal orders	yes	82848639-57ee-427a-9428-720295a9077f	same Premier 1721–1813 bound as Premier Grand Lodge row
Acetaia Giusti	firms	yes	67891074-71c8-4d0e-af0b-e8814bc9410e	1863 Giuseppe Giusti article; 1605 register not used as start
United Ancient Order of Druids, American body	civic / fraternal orders	yes	54105d4b-2860-4234-9ad1-73da01e318fc	1839 meeting aims via 1841 journal; record to 1985
A.E. Köchert	firms	yes	0994e97a-3422-4524-b36f-9c8b67486547	1832 court-jeweller application via dealer history; no 1814 aim
Amarelli	firms	no	305ad4c9-69a6-45e6-aabb-6532219e0f92	no public founding-period aim text
Bank of England	firms	yes	eb819c0d-71a7-4afd-a54c-ae546e5a93ad	1694 Charter and Act; distinct formulations
Amsterdam Wisselbank	firms	yes	4766220e-5405-4cdd-a728-7300ec089170	1609 municipal ordinance
Banque Pictet & Cie	firms	yes	de0f4b29-ef8b-4a5a-90ac-6b268269adf9	1805 partnership deed; bound ends 2013 before SA
Augustea	firms	no	cd6ae00c-a179-4193-be19-3d55a8047a1e	1955 group; no founding-period aim; <150y
Banque Hottinguer	firms	no	e798de92-d3ec-4dda-bd88-ab8ff495b8b3	bound to 1991 legal person; no founding aim
Shriners International / Imperial Council, AAONMS	civic / fraternal orders	yes	54540916-cae0-4c53-939b-42417e72fb7f	1870 ritual via 1894 compilation
Akafuku	firms	no	25ef7b5f-a98c-49fb-aa57-9b752f2c6958	bound to 1954 corporation; no founding aim
Banque Lombard Odier & Cie	firms	yes	8dfd7571-9f2b-4749-bbc9-b80f03f258a9	1798 announcement; bound ends 2002 merger
C. Hoare & Co.	firms	no	529d2ab9-c0e7-4b62-b564-7976336b6a5a	ledgers show activity not aims
Beligné	firms	no	23ad8443-3561-4c6e-b181-5a9ddd9b8644	no earliest-period aim text
Catherineau	firms	no	ee723c71-8ccb-4277-95f4-b698bc247747	no inspectable 1750–1811 aim
Cartiera Mantovana	firms	yes	2b28ad64-1458-49f4-a5d0-26e31efa7f28	1615 ducal concession to make paper
Champagne Billecart-Salmon	firms	no	13b42466-3810-4ec6-b5a7-6bd05adc54e3	bound to 1954 SA; no founding aim
Château de Goulaine	firms	no	094f94a3-bcd1-4a99-8a1a-71dba4395e60	site/property not a firm; no founding aim
Colussi	firms	no	3cf2204f-c676-4efd-bfde-29c9d8e6c5ef	bound to 1949 Perugia line; no founding aim
Denantes	firms	no	9dd8e9c3-a2f3-4299-9bc9-086126f38a90	bound to 1955 SAS; no founding aim
De Kuyper Royal Distillers	firms	no	aba9b757-8bca-434c-ad36-ce2acb6c7f22	1769 contract exists but text not public
Descours & Cabaud	firms	no	26b2c7cf-d67a-4b50-a57b-a3845492a8ee	1782 ledger records capital not aims
D’Ieteren	firms	no	14792caa-a8a5-4dac-a297-dab17b12fc83	1919 deed not publicly readable
Dutch East India Company (VOC)	firms	yes	72c8300c-9817-46e0-8f93-273793768b79	1602 charter; 1799 expiry
East India Company	firms	yes	389f5229-5a09-486f-b74e-128e8a2c406d	1599 court minutes and petition
Ditta Bortolo Nardini	firms	no	32453cf1-6367-48b0-8409-a1a64e19e09d	no public 1779 aim text
Fabbrica d’Armi Pietro Beretta	firms	no	3b9888b0-dafa-4199-8194-52357cc33346	1526 Venetian receipt is payer not own aim
Fratelli Piacenza	firms	yes	bf131daf-3e83-4562-bb57-011b8c10c60e	1750 municipal water-rights instrument
Fried. Schwarze	firms	no	920fba82-6935-4d4a-9927-5d1b1cb84afe	1664 church record of activity not aims
Gradis 1685	firms	no	d216f031-6654-4b0e-a2d2-a28321733bac	1724 journals; no public aim statement
Gekkeikan	firms	no	c9ad85df-3dc5-4457-a524-57d2a8cdb2fb	1718 account book records transactions
Garbellotto	firms	no	5555b8ca-ff30-4d46-977b-8511b41e7dd7	archives lost; no founding aim
Genda Shigyō	firms	no	0c41f300-9736-4c8b-a9cf-c0d3d2e4342e	bound to 1986 corporation; no founding aim
Groupe Mirabaud	firms	no	8fe6b911-b204-45d4-a981-d580978449d9	1819 deed not publicly readable
Grondona	firms	yes	e20a4e0a-1c83-4087-9d68-f37b64040a0b	occupational register wording vermicelli/bakery-pasta
Groupe Bolloré	firms	yes	5541498d-7584-4086-b533-c3a329898692	1825 Le Marié letter on workforce
Guinness / St James’s Gate Brewery	firms	no	31bbf02f-950c-413c-a5cf-5b727e7207b9	1759 lease is property not aim
Guerrieri Rizzardi	firms	no	e850f9f8-3029-484e-b0f3-024c5c6d0563	1913 house; 1914 label not inspectable
HOSHI	firms	no	8db4c43e-9c74-4b8b-b63d-f94b6173fd39	bound to 2017 corporation
Honor/Société des Moulins du Bazacle	firms	yes	e89352a4-370f-485e-bfb3-de968db5441a	1372 unification charter
Hōshi Ryokan	firms	no	2d384921-a1c5-4699-ac4f-8da8f032af62	same 2017 legal-person bound as HOSHI
Hugel & Fils	firms	no	79c7b883-f56d-45c6-b8c7-754e440c887b	bound to 1957 SA
J.D. Neuhaus	firms	no	13951211-9fae-43db-87a7-5e6da4db012c	1745 register entry Fabrickant not aim
Hudson’s Bay Company	firms	yes	b2c69469-d2bd-4fbd-ae22-4cfc450de8de	1670 charter
Jean Roze	firms	no	f925b5df-614c-4379-a4e3-56f44551c5c6	EXTRA not in union; 1701 fonds unread online
Iwasaki	firms	no	a121d373-fe5e-41de-9e84-5be029131e61	EXTRA not in union
Ichimonjiya Wasuke	firms	no	b08963c9-eb1e-4431-8e8e-6f56550a9ca1	1780 guidebook; no founding own-aim
Kitagawa Honke	firms	no	48adf283-515a-4b31-ac17-fb17b7322a84	EXTRA not in union; 1715 production record not aim
Kikkoman	firms	yes	8f468768-66ff-44ac-b482-5f9ddc0e4737	EXTRA not in union; 1925 merger instruction
J. & L. Lobmeyr	firms	no	cbc1d232-d4b4-4d6a-8c78-a031d8512cb1	1823 ledger; no own-aim
Koman	firms	no	2701e8dc-786d-4ccc-8fd0-72a40076e54c	bound to 1953 corporation
Kongō Gumi	firms	no	309a67e8-36b6-458e-8935-8811ddee7477	1597 inscription is office not aim
Leone de Castris	firms	no	be7c4b23-a030-49c1-80ec-e049d28f2d27	bound to 1969 S.r.l.
Louis Latour	firms	no	22f87f56-4445-4ec5-9a2f-a1bbeb9e87b0	1797 house; no founding instrument
Les Fils Dreyfus & Cie	firms	no	09c8d98f-e66b-4a84-8397-9ec7b690afe3	1813 house; Ragionenbuch unread
Luxardo	firms	no	22ab79db-876c-440f-87fb-2ba08c6a3693	bound to 1947 S.p.A.
Mellerio	firms	no	477896f5-3af4-45e0-a39f-2f619ef2b791	1815 house; ledgers not aim
Monnaie de Paris	firms	yes	cfe92741-3b4d-43d7-b851-a2d1b1c2df36	864 Edictum Pistense mint clauses
Monte Pio / Banca Monte dei Paschi di Siena	firms	yes	e4351701-3df7-42ed-9486-5fb393b79e58	1624 istrumento di fondazione
Möllergroup	firms	no	efad3971-e4a0-432f-80d1-603450e8e0e8	bound to 1999 KG
Nabeya	firms	no	de3da940-b75a-4965-b3b0-19a72f791dbf	bound to 1947 corporation
Nakagawa Masashichi Shoten	firms	no	b1513467-8f24-4989-9345-7159682c4010	1716 retrospective; 1749 lantern not aim
Nakamura Shaji	firms	no	9d491d67-3981-4de8-babd-31a82da79a3b	bound to 1990 corporation
Nishiyama Onsen Keiunkan	firms	no	519bf42f-70c5-4e91-b2a7-a86002cf3e7b	bound to 2017 corporation
Okaya	firms	yes	1e24f085-9de4-4d7d-88af-9967fec2ef9e	1836 house code (not 1669)
Otterton Mill	firms	yes	72f48a81-ed1e-41bc-9c4a-946db1057f5e	2015 Ltd; Wright takeover statement
Pinto Basto	firms	no	0430d7dc-04b6-41ec-80be-03d06246b65e	1771 house; no founding instrument
Pollet	firms	yes	8d4c90ab-ab0b-4e3d-94f0-d5634e2913c3	1763/1788 master oaths
Pontificia Fonderia Marinelli	firms	no	20dcbb40-3a32-48ef-83ef-88906039f95e	1339 inscription occupation not aim
Revol	firms	no	1061daf1-0fd8-4b0f-8ee2-ceed257eb2e0	1768 marriage contract unread
Staffelter Hof	firms	no	408cddcd-5bc8-408b-a1fb-a5c6e8d8aa3e	1805 purchase; 862 is predecessor
St. Peter Stiftskulinarium	firms	no	143ae023-6ebd-4b7a-ac14-664eca2ffb95	bound to 1992 operator
Royal Mint	firms	yes	90504217-31c4-4a55-a815-7a47c7681bec	1279 Turnemire indenture
Shumiya-Shinbutsuguten	firms	no	87b2863c-7e0f-4aad-bb6c-10824097d855	bound to 1968 corporation
Stabilimento Colbachini	firms	no	1993bee4-887f-4280-864e-efa0a9261f66	1745–2006; registers unread
Stora Kopparberg / Stora Enso	firms	no	54abf7fa-beca-4714-a53b-300b2cd5ca86	1347 privilege is royal not own-aim
Tanaka-Iga	firms	no	eab0c7f2-abd8-401c-877d-b1047e7199eb	1831 directory occupation not aim
Thiercelin	firms	no	42d8dec2-c1cf-4ac3-8722-7e539f27fdd9	bound to 1976 SA
Toraya	firms	no	03e449f3-7459-4961-8d35-fac6a3ad5f89	1600 mention; records not aim
Tarrerias Bonjean	firms	no	aa3c78ea-0f3d-4ee7-a542-4324e1627493	bound to 1962 SAS
Van Eeghen Group	firms	no	167fbddd-38d0-41af-b4d1-86a6fbdfbc03	1662 lineage; no founding aim
Weltenburger brewery	firms	no	5e163bb7-7db1-46a8-987c-51ec204bf517	bound to 1972 GmbH
Yamamotoyama	firms	no	8a70b45d-a273-4b37-bd69-1e5e17266ede	1690 house; founder quote uncited
Yamasa Corporation	firms	no	6be9ac2f-57ee-420d-917a-e682f73e9c93	1703/1709 ledgers not aim
Viellard Migeon & Cie	firms	yes	2d471e6b-af51-4d22-9007-5d323318840e	1879 family pact Rester unis
Vitale Barberis Canonico	firms	no	47e18a02-4f2b-47fe-9506-fe649fbdcc80	bound to 1936 enterprise
Weihenstephan brewery	firms	no	58538bad-06d9-411f-ab13-72028c4d79b4	1675 confirmation not own-aim
Zaiso Lumber	firms	no	b8c72e4f-bf5c-4709-88cc-a4abe3661432	1690 tradition; no founding aim
Éditions Henry Lemoine	firms	yes	8c318479-2aa0-4ece-8f20-e687a8c75f91	1825 catalogue subscription aim
Barreau du Québec	legal traditions	yes	cadae81a-88b4-415e-b575-53de677f7527	1849 incorporating act preamble
Bristol Law Society	legal traditions	yes	faef0e7f-25a3-4d86-91c1-f057b611e125	1770 rules debate of law questions
Devon and Exeter Law Society	legal traditions	no	64f569f2-b4d4-4969-899d-0225f1df3df6	1808 minutes not digitized
Doctors’ Commons	legal traditions	yes	32417db3-c55d-4175-8e24-379d19b45dee	1768 charter college of doctors
Douai community of advocates	legal traditions	yes	d77d450e-2faf-4f12-acce-1eea75a56fd5	1715 serve the public
Essex County Bar Association	legal traditions	yes	c4ab5b2a-7dbd-41a8-aff2-61452a889507	1806 rules officers fees exams
Honorable Society of King’s Inns	legal traditions	yes	10714250-c8f4-457a-874d-a0c95c9b0fdd	1607 Black Book restoration order
Hull Law Society	legal traditions	yes	fa53028f-1183-4d45-9aea-1206c574ccb2	1818 fair practice resolution
Ilustre y Nacional Colegio de Abogados de México	legal traditions	yes	ed987f47-7b5a-4501-986d-8773781e7f90	1760 statutes relief for lawyers
Inner Temple	legal traditions	yes	abed13af-6734-41f6-ae96-b4787d271072	1553 library for learning of the laws
Gray’s Inn	legal traditions	yes	b8febb91-ed20-4680-a2ec-5b8a299c5c43	1570 Pension Book motes and bolts
Kent Law Society	legal traditions	no	d134adad-217e-4561-894f-043883b498b8	1818 records not digitized
Law Society of Ontario	legal traditions	yes	b6655e01-88f7-43e9-9fbf-e975835e124e	1797 statute learned honourable body
Lincoln’s Inn	legal traditions	yes	843cfeb7-53db-4134-963e-3447c61bb4e7	1422 Black Books Christmas commons
Madrid Bar Association	legal traditions	yes	72f99c13-4914-483e-a2be-53bd920148a7	1596 ordinances succor and poor defence
Birmingham Law Society	legal traditions	no	a278ffa1-6413-440b-9bf0-1988befd5e00	1818 minutes not digitized
Faculty of Advocates	legal traditions	yes	24a13a60-17f4-40bc-ac22-af4711418dc8	1610 petition admission standards
Gloucester Law Society	legal traditions	yes	fe9b3a5b-363a-436c-ac65-199c8b220090	1884 memorandum objects
Manchester Law Society	legal traditions	yes	3415ffe7-4c94-46be-9061-e75c9e225d8f	1839 rules respectability and lectures
Massachusetts Supreme Judicial Court	legal traditions	yes	f1fbd93a-2a51-4ee5-b92d-186ab76d69b0	1780 Constitution and 1785 seal
New York City Bar Association	legal traditions	yes	92c999f8-8d75-444c-8407-e2177395f694	1870 call and 1871 charter
Philadelphia Bar Association / Law Library Company	legal traditions	yes	87a9ceb8-6f5d-40f0-bb73-6fd64059372c	1802 charter law library
Serjeants’ Inn, Chancery Lane	legal traditions	no	a3e1f246-e28a-4a5a-a44f-4df142bcf0b6	1496 lease; accounts not aim
Middle Temple	legal traditions	no	72d6a757-76f5-4418-9e8f-7637321eaed2	1501 minutes; no own-aim
Plymouth Law Society	legal traditions	no	0249f356-35f6-4e41-a4c9-9b877f5d6440	bound to 1871 company; memo unread
Real e Ilustre Colegio de Abogados de Zaragoza	legal traditions	yes	57d0735b-2e39-41e4-96bd-88893ea5fc5e	1545 censal feast funding
Royal Faculty of Procurators in Glasgow	legal traditions	yes	56855e58-5d74-46ad-87fb-ae13d5e1fcea	1668 minute mutual aid
Society of Advocates in Aberdeen	legal traditions	yes	7f51b3dc-f97c-4866-999e-4862b571431d	1774 charter relief fund
Society of Gentlemen Practisers	legal traditions	yes	c63c5651-cc0d-4777-bc1e-5f9125197520	1740 minute unfair practice
American Institute of Architects	professions / guilds	yes	9eb5d997-13f2-4d6d-99d4-64269cc8dd63	1857 Upjohn; 1858 objects not merged
Leeds Law Society	legal traditions	no	ca34b352-7336-4175-a914-ce82febefb35	1870 co.; 1805/1870 objects unread
Society of Writers to His Majesty’s Signet	legal traditions	yes	41d6380d-c383-497f-81fc-ff6fd91caab7	1594 commission and statutes
Somerset Law Society	legal traditions	no	fc07b828-5e72-4b1e-a60b-323944d8b896	1796–2007; no 1796 own aims
Yorkshire Law Society	legal traditions	no	dc586dd0-bf4e-467f-9331-7858a8b3d794	1786 notice reprint; not own instrument
Water Tribunal of Valencia	legal traditions	no	2abfeee2-72c1-4023-aa70-0269f1d0ee3c	1251 royal privilege; not own aims
Sunderland Law Society	legal traditions	no	c12c8831-3102-4018-b84f-9717eb3ca572	1800 date from later lists; no own aims
American Institute of Mining Engineers predecessor	professions / guilds	yes	894c7a54-7586-47a2-8f21-a843d14a549e	1871 circular and Rule 1
British Medical Association	professions / guilds	yes	e31a0734-ace5-429a-8772-9e599bd5271f	1832 PMSA prospectus five objects
Armourers and Brasiers’ Company	professions / guilds	yes	9a1f8f4e-8d1a-4f21-8b51-6405478fe749	1322 ordinances vs 1453 charter not merged
Apothecaries’ Society	professions / guilds	yes	437d68af-7b09-4a4b-b12e-612d47170b42	1617 patent; Grocers split
Brewers’ Company	professions / guilds	yes	0ea9dd4c-c391-4931-9244-11e5e23db1c1	1406 petition; 1438 charter
Bowyers’ Company	professions / guilds	yes	8144bc50-3b3f-4383-b3ee-b7b3a06369f3	1371 petitions night work and split
American Medical Association	professions / guilds	yes	3ca36040-7d3b-4543-9f95-b2c7fef31c16	1847 Plan of Organization preamble
Basketmakers’ Company	professions / guilds	no	91c93861-493d-4992-a079-cbd7befd4bc9	1569 order text not retrieved
Bakers’ Company	professions / guilds	yes	baaac9a6-cfcd-4aeb-b786-de0d7eb55937	1494 Whitebakers petition
Blacksmiths’ Company	professions / guilds	yes	21a98301-0155-43a0-a08a-c3d7faf9a0b4	1372 Letter-Book G articles
Broderers’ Company	professions / guilds	yes	49f6ed60-61dc-43b9-a08f-fa33a835f1fc	1561 patent; 1495 search petition
Carpenters’ Company	professions / guilds	yes	98e3521a-3517-4353-bde7-dafb6a09ffa7	1333 ordinances via 1388/9 return
Chartered College of Teaching / College of Preceptors	professions / guilds	yes	e03f4829-b2c3-430a-ad91-d62e2e711330	1846 resolutions; 1849 charter
Clockmakers’ Company	professions / guilds	yes	d37f483e-8be2-4384-baf8-29ffbe18ce5c	1631 letters patent
Butchers’ Company	professions / guilds	yes	961e2b56-5f83-4b49-8a30-c2ec5a00155a	1331 Stokkes petition
Carmen	professions / guilds	yes	f70652c8-d148-41ca-938e-be31f99b0c14	1517 St Katherine carters grant
Coachmakers and Coach Harness Makers	professions / guilds	no	6af777aa-51b1-4a73-80c6-ea090f9b850f	1677 charter paraphrases only
Company of Cutlers in Hallamshire	professions / guilds	yes	35a3c124-4fb2-49f6-855a-4011824fc760	1624 Act
Company of Merchants of the Staple of England	professions / guilds	no	97abec0f-2496-4bb8-9529-a7e15fba1fa8	1363 Crown patent; not own aims
Clothworkers’ Company	professions / guilds	no	13572f5e-43f1-4a4a-b0a9-f339f794d126	1528 LP calendar; patent unread
Cooks’ Company	professions / guilds	no	a97de0e2-6c72-4702-99bf-29e84f6c69ae	1482 preamble is Crown voice
Cordwainers’ Company	professions / guilds	yes	e5cdf495-25a1-49dd-83ce-35ae59f93c23	56 Henry III Allutarii ordinances
Cutlers’ Company	professions / guilds	yes	e7646573-475a-47e7-a887-cbb495e3de79	1344 articles; 1416 patent
Corporation of Trinity House	professions / guilds	yes	e41c089a-bf96-4e24-ac47-316c57b4e5eb	1513 petition; 1514 patent not merged
Curriers’ Company	professions / guilds	yes	6030749a-dd95-4a9b-b7c4-0d7c2f65d1bf	1415 petition; 1488 articles
Faculty of Actuaries	professions / guilds	yes	f7e9e2ad-0bf2-4f92-bbfe-93ec7eabe705	1856/1868 objects
Distillers’ Company	professions / guilds	yes	937561b3-c2f6-424d-bb12-b46d1491cc57	1638 charter; 1639 Distiller of London
Coopers’ Company	professions / guilds	yes	686d7164-8d56-4b3b-8df5-420f8594e9dd	1396 petition; 1298 ordinance
Dyers’ Company	professions / guilds	yes	5114e1d4-c734-4737-9fcf-4e6c9c3d65eb	1472 Carta Tinctorum; 1482 petition
Fan Makers	professions / guilds	no	137b0519-bf33-4d0d-951c-6626042878f9	1709 charter unread
Farriers’ Company	professions / guilds	yes	7e2e80a3-7527-4a88-838f-2f45257ae41c	1356 Letter-Book G petition
Feltmakers’ Company	professions / guilds	yes	9109e076-35b7-42bc-9536-44687f21eed4	1576–80 petitions; 1604 patent
Fishmongers’ Company	professions / guilds	yes	6c0afc3a-ca97-46f0-b1dc-453ff29c8f79	1279/80 ordinances; 1364 charter
Fletchers’ Company	professions / guilds	yes	2c879970-3292-4373-913e-a6b5ccc63307	1371 petition; 1403 ordinance
Founders’ Company	professions / guilds	yes	5a71dff9-dd19-4396-b089-6214c798d37f	1365 petition
Framework Knitters’ Company	professions / guilds	yes	62776e19-68e4-42ce-814a-2aff33b3ade4	1655 humble representation
Fruiterers’ Company	professions / guilds	yes	4b9a13ac-6420-4adf-b41d-abf86e419c94	1463 Guildhall petition
Gardeners’ Company	professions / guilds	yes	c1089cd3-813f-4602-9653-69e144918d97	1605 charter craft clause
Girdlers’ Company	professions / guilds	yes	8da0167e-4476-455f-bfb9-3d3ec9d92a7e	1327 petition; 1344 articles
Glass Sellers’ Company	professions / guilds	yes	29e60cc1-a063-402a-a312-040c9a41b763	1664 letters patent
Glaziers and Painters of Glass	professions / guilds	yes	7f285eb8-c862-4539-b703-af48a7e4857c	1364/5 Verrers petition
Glovers’ Company	professions / guilds	yes	3f937fff-c125-49cd-8ef1-6ad227e4c6fd	1349 ordinances; 1502 end
Gold and Silver Wyre Drawers	professions / guilds	yes	1c0c6f08-77aa-4030-acab-d16f14c04691	1691 petition; 1693 patent
Goldsmiths’ Company	professions / guilds	yes	0a8d18b0-4fe0-4fb3-adc1-03bc374929c6	1327 petition in charter
Grocers’ Company	professions / guilds	yes	636d0390-695a-4e62-948e-915593ec3b3a	1345 Black Book love and unity
Grocers—see above	professions / guilds	yes	20b29418-e878-4119-a761-f5f2c606f188	same unit as Grocers’ Company; 1345 Black Book
Gunmakers’ Company	professions / guilds	yes	7663d5d1-2caf-4bf0-8472-50efb24b8675	1637 charter proof and search
Haberdashers’ Company	professions / guilds	yes	d3e7e488-d71d-4110-820d-fc9085c68187	1371 ordinances; 1448 patent
Haberdashers—see above	professions / guilds	yes	65d4669a-585c-4ac8-bed2-f9e281c30213	same unit as Haberdashers’ Company; 1371 articles
Horners’ Company	professions / guilds	yes	9dcb67b5-93f7-4d22-a78d-24ba1510288b	1391 petition; 1284 statutes lost
Incorporation of Surgeons and Barbers of Edinburgh / RCSEd	professions / guilds	yes	8267a922-13e1-479f-b358-c6f8813a41af	1505 Seal of Cause petition
Institute of Actuaries	professions / guilds	yes	6a049149-d305-4c34-8418-b21e215887cf	1848 plan; ended 2010 merger
Innholders’ Company	professions / guilds	yes	fa36502d-2ea0-4092-9f81-b19ffdf5d7bd	1446 hostelers petition
Institution of Civil Engineers	professions / guilds	yes	2050b1b0-32fd-41de-ab25-98e2334ff628	1818 minutes; 1828 charter
Institution of Mechanical Engineers	professions / guilds	yes	9a5f8ce7-d5be-4170-986c-75dfec6b9118	1846 promoters’ circular
Ironmongers’ Company	professions / guilds	no	83988029-876b-4fd9-828b-55043178415b	1463 Crown charter; no own manifesto
Joiners and Ceilers’ Company	professions / guilds	yes	e064ed3f-5577-42b3-bb87-e4630e5a129a	1572 ordinances proof piece; drop `b5a3e641`
Law Society of England and Wales	professions / guilds	yes	b642c433-8655-470b-bd2b-68e58ca9a1c8	1832 Fourth Annual Report
Leathersellers’ Company	professions / guilds	yes	d248662f-415f-4804-956c-e113a4e03228	1372 Letter-Book petition
Makers of Playing Cards	professions / guilds	no	d019394b-9e14-476f-8d17-f1d3b2e1c658	1628 charter unread
Masons’ Company	professions / guilds	yes	82589bc2-91e2-4d27-9cfd-e70de1ba34eb	1356 articles; 1481 petition
Mercers’ Company	professions / guilds	yes	16d92935-2835-46ac-9632-d11302807ec0	1394 patent; 1348 ordinances
Merchant Adventurers of York	professions / guilds	yes	04986efe-3832-4653-96ef-45caf736c9a6	1357 licence petition
Merchant Taylors’ Company	professions / guilds	yes	d435d29a-b89f-42e8-81a2-4f0fdbce820c	1327 letters patent
Musicians’ Company	professions / guilds	yes	6d8690c7-4172-4979-b331-d065f226708d	c.1500 minstrels petition
Needlemakers’ Company	professions / guilds	no	35fba2f8-c52d-4fda-ab66-5f2d1700bf78	1656 patent unread
Painter-Stainers’ Company	professions / guilds	no	a63ac4a5-620a-4544-9e0b-6f43b76e2884	1502/1581 instruments unread
Pattenmakers’ Company	professions / guilds	no	f5de7c8f-952d-4dd0-b606-5cf9f82170cf	1670 charter unread
Paviors’ Company	professions / guilds	yes	6132f5c5-20b6-4d4c-a1ab-a2bb0eebe590	1479 petition; craft regulation
Pewterers’ Company	professions / guilds	yes	06a60440-1c22-47d1-aa2a-33836d15fe9a	1348 ordinances; common profit
Pharmaceutical Society of Great Britain / Royal Pharmaceutical Society	professions / guilds	yes	877fba0f-4cad-4da4-8b3d-1b4fcce2c507	1841 resolution; 1843 charter
Plaisterers’ Company	professions / guilds	yes	2c778fab-5cab-47f8-8dbb-cd77ed4a8f82	1501 charter; search without fraud
Plumbers’ Company	professions / guilds	yes	d6be2aeb-337a-48a2-9da3-c9307e7b96d5	1365 ordinances; trade not scandalized
Poulters’ Company	professions / guilds	no	779963ae-8760-454a-9060-dda7ed8fc13e	1366 mistery; own aims unread
Royal Aeronautical Society	professions / guilds	yes	09c6eace-fee1-476a-99d3-51068a1ca190	1866 minute book; aerial navigation
Royal College of Physicians of London	professions / guilds	yes	35fa53f8-0f26-4cae-acdd-147c712b47ad	1518 letters patent; 1523 petition
Royal College of Surgeons of England	professions / guilds	yes	ab05292b-5e99-4e82-8ad0-ac33c1b18677	1800 letters patent; promote surgery
Royal College of Veterinary Surgeons	professions / guilds	no	3eeb5fde-2e78-4b41-b095-5df4f7922f02	1844 charter objects unread
Royal Institute of British Architects	professions / guilds	yes	45139d8e-b45a-4870-9716-7593948581d6	1834 resolution; 1837 charter
