name	domain	notes	source
Society of Advocates in Aberdeen	legal traditions	Exact foundation and organization-issued earliest aims incomplete.	legal
Yorkshire Law Society	legal traditions	Criteria (ii) and (iii) incomplete.	legal
Somerset Law Society	legal traditions	Criteria (ii) and (iii) incomplete.	legal
Law Society of Ontario	legal traditions	Founding statute was external; earliest Convocation rule explicitly stating aims needs confirmation.	legal
Sunderland Law Society	legal traditions	Criteria (ii) and (iii) incomplete.	legal
Philadelphia Bar Association / Law Library Company	legal traditions	Confirm that the 1802 charter itself states organizational aims rather than only corporate mechanics.	legal
Leeds Law Society	legal traditions	Explicit own-aim source and full continuity trail incomplete.	legal
Essex County Bar Association	legal traditions	Continuity before the 1856 reorganization and earliest-period own-aim source incomplete.	legal
Devon and Exeter Law Society	legal traditions	Merger continuity and criterion (ii) incomplete.	legal
Manchester Law Society	legal traditions	Criterion (ii) and full documentary continuity incomplete.	legal
Plymouth Law Society	legal traditions	Criteria (ii) and (iii) incomplete.	legal
Gloucester Law Society	legal traditions	Criteria (ii) and (iii) incomplete.	legal
Birmingham Law Society	legal traditions	Criterion (ii) and full record trail incomplete.	legal
Hull Law Society	legal traditions	Criteria (ii) and (iii) incomplete.	legal
Kent Law Society	legal traditions	Criterion (ii) and full record trail incomplete.	legal
Barreau du Québec	legal traditions	Incorporating act states regulatory purposes but was external; earliest organization-issued rules not located.	legal
New York City Bar Association	legal traditions	Meets all three on located evidence.	legal
Massachusetts Supreme Judicial Court	legal traditions	Criterion (ii) incomplete because founding act was external.	legal
Pennsylvania Abolition Society	reform movements	Continuity criterion is incomplete because of the early cessation and later revival.	reform
Providence Society for Abolishing the Slave Trade	reform movements	Documented end, but continuity contains a long dormancy.	reform
New York Manumission Society	reform movements	Meets documented-dissolution branch.	reform
Society for Effecting the Abolition of the Slave Trade	reform movements	Exact legal dissolution and explicit founding constitution not located.	reform
American Colonization Society	reform movements	Meets both duration and documented-end branches.	reform
Philadelphia Female Anti-Slavery Society	reform movements	Meets documented-dissolution branch.	reform
American Anti-Slavery Society	reform movements	Meets documented-dissolution branch.	reform
American and Foreign Anti-Slavery Society	reform movements	Dissolution date and complete terminal record trail not established.	reform
Anti-Slavery International / British and Foreign Anti-Slavery Society	reform movements	Meets ≥150-year branch.	reform
American Temperance Society	reform movements	Full founding text and records through merger not located in this pass.	reform
American Temperance Union	reform movements	Exact founding instrument and complete terminal archive need confirmation.	reform
Washingtonian Temperance Society	reform movements	No centralized dissolution date or complete terminal record trail.	reform
Movendi International / Independent Order of Good Templars	reform movements	Criterion ii incomplete: earliest-period aim document not verified.	reform
Prohibition Party	reform movements	Meets ≥150-year branch.	reform
Woman’s Christian Temperance Union	reform movements	Meets ≥150-year branch.	reform
Anti-Saloon League of America	reform movements	Criterion ii incomplete.	reform
American Equal Rights Association	reform movements	Terminal proceedings and original constitution publication require fuller archival citation.	reform
National Woman Suffrage Association	reform movements	Meets documented-merger/end branch.	reform
American Woman Suffrage Association	reform movements	Meets documented-merger/end branch.	reform
National American Woman Suffrage Association	reform movements	Meets documented-reorganization/end branch.	reform
Congressional Union / National Woman’s Party	reform movements	Meets documented-dissolution branch.	reform
New York Female Moral Reform Society / American Female Guardian Society	reform movements	Exact succession, dissolution, and end-to-end record trail remain incomplete.	reform
Massachusetts Peace Society	reform movements	Primary-source repository citation and complete merger proceedings not verified.	reform
American Peace Society	reform movements	≥150-year organizational continuity is not adequately demonstrated by the located records.	reform
Howard League for Penal Reform / Howard Association	reform movements	Meets ≥150-year branch.	reform
Royal Society for the Prevention of Cruelty to Animals	reform movements	Meets ≥150-year branch.	reform
American Society for the Prevention of Cruelty to Animals	reform movements	Meets ≥150-year branch.	reform
Order of Saint Benedict / Benedictines	religions	Incomplete: Britannica stresses that autonomous monasteries do not constitute one continuously governed order; 529 is conventional.	religions
Carthusian Order	religions	—	religions
Cistercian Order	religions	Dating of the surviving *Exordium Parvum* recension is disputed, with proposals extending into the later 12th century.	religions
Knights Hospitaller / Order of St John	religions	Founding year is not singular; 1113 is the narrow formal-recognition date.	religions
Knights Templar	religions	Incomplete criterion ii: the rule was finalized by a church council, although Hugh of Payns presented the order’s practices and proposals.	religions
Premonstratensian Order / Norbertines	religions	Exact text and present repository of the 1121 formulary were not established in this search.	religions
Carmelite Order	religions	Incomplete criterion ii: Albert, not the hermits collectively, issued the first rule; founding date is conventional.	religions
Teutonic Order	religions	Qualifies through documented 1809 dissolution; current body has a discontinuity. Earliest surviving own-issued rule was not securely dated.	religions
Franciscan Order / Friars Minor	religions	First 1209 rule does not survive independently; 1221 is the earliest surviving organizational text.	religions
Poor Clares / Order of St Clare	religions	Earlier rules were imposed or adapted externally; Clare’s own 1253 rule is the clearest organization-issued source.	religions
Dominican Order / Order of Preachers	religions	—	religions
Servite Order	religions	Earliest narrative, *Legenda de Origine*, is later and partly hagiographic; exact repository of the oldest constitution manuscript remains incomplete.	religions
Order of Saint Augustine / Augustinian Hermits	religions	Pre-1290 laws existed but their complete text and repositories were not established.	religions
Order of Friars Minor Capuchin	religions	—	religions
Society of Jesus / Jesuits	religions	Treat either as documented dissolution in 1773 or as disputed continuity through the Russian remnant.	religions
Congregation of the Mission / Vincentians	religions	—	religions
Religious Society of Friends / Quakers	religions	1652 marks emergence, not a single constitutive meeting.	religions
Moravian Church / Unitas Fratrum	religions	Incomplete criterion ii for the 1457 organization; institutional continuity across suppression and 1727 renewal is contested.	religions
Methodist Episcopal Church	religions	No formal minutes of the 1784 conference survive; the resulting *Discipline* supplies the organizational record.	religions
Brahmo Samaj	religions	Incomplete duration evidence: a centralized continuous record trail was not identified; later schisms produced several samajes.	religions
Church of Jesus Christ of Latter-day Saints	religions	Several successor churches claim continuity from the 1830 body; this row denotes the Utah-headquartered LDS Church.	religions
Tenrikyo	religions	Incomplete: earliest written own-source found is 28 years after the revelatory founding; legal organization dates later than 1838.	religions
Seventh-day Adventist Church / General Conference	religions	—	religions
Arya Samaj	religions	Exact archive location and full authoritative edition of the original 1875 twenty-eight rules remain incomplete.	religions
Académie des Jeux floraux / Consistori del Gay Saber	scholarly disciplines	Continuity is interrupted, but documentary succession is extensive.	scholarly
Accademia della Crusca	scholarly disciplines	Original organization qualifies through documented dissolution; later body is a succession case.	scholarly
Accademia dei Lincei, original body	scholarly disciplines	Modern Lincei is a revival, not continuous with the original body.	scholarly
Académie française, original/restored body	scholarly disciplines	Original body qualifies through dissolution; modern continuity crosses legal suppression.	scholarly
Leopoldina	scholarly disciplines	Meets all criteria.	scholarly
Royal Society of London	scholarly disciplines	Meets all criteria.	scholarly
Académie royale des sciences, original body	scholarly disciplines	No written statute during first 33 years; 1699 instrument is earliest located aim-bearing statute.	scholarly
Berlin Society/Prussian Academy of Sciences	scholarly disciplines	Original academy qualifies through documented dissolution; modern BBAW is reconstitution.	scholarly
Society of Antiquaries of London	scholarly disciplines	Meets all criteria using 1717 as secure organizational start.	scholarly
Royal Dublin Society	scholarly disciplines	Location of original 1731 minute/instrument not confirmed in this search.	scholarly
American Philosophical Society	scholarly disciplines	Possible mid-century inactivity/consolidation complicates strict continuity.	scholarly
American Academy of Arts and Sciences	scholarly disciplines	Meets all criteria.	scholarly
Society of Antiquaries of Scotland	scholarly disciplines	Meets all criteria.	scholarly
Royal Society of Edinburgh	scholarly disciplines	Meets all criteria.	scholarly
Royal Irish Academy	scholarly disciplines	Meets all criteria.	scholarly
Linnean Society of London	scholarly disciplines	Meets all criteria.	scholarly
Geological Society of London	scholarly disciplines	Meets all criteria.	scholarly
Royal Astronomical Society	scholarly disciplines	Meets all criteria.	scholarly
Royal Geographical Society	scholarly disciplines	Merger changed legal form, but record trail and institutional succession are explicit.	scholarly
British Association for the Advancement of Science	scholarly disciplines	War-year interruptions affected meetings, not necessarily corporate existence.	scholarly
Chemical Society of London	scholarly disciplines	Original society qualifies through documented 1980 merger/end.	scholarly
American Society for Premodern Asia, formerly American Oriental Society	scholarly disciplines	Meets all criteria; source disagreement over exact organization/charter date is retained.	scholarly
Royal Society of Antiquaries of Ireland	scholarly disciplines	Exact repository/call number for founding constitution not located.	scholarly
Royal Historical Society	scholarly disciplines	Meets all criteria.	scholarly
Council of the Indies	states / administrations	Temporarily abolished and restored before final dissolution; continuity was not uninterrupted. Dissolution-and-record-trail branch of criterion (iii) applies.	states
British Privy Council	states / administrations	**Incomplete (ii):** the first register documents the Council’s actions but no discrete founding rule or constitution stating its aims was located.	states
Swedish National Archives (Riksarkivet)	states / administrations	Complete.	states
Board of Admiralty	states / administrations	**Founding identity ambiguity:** 1628 first commission versus 1708 permanent administrative form. Both dates retained.	states
Danish Secret Archive (Gehejmearkivet)	states / administrations	**Incomplete (i), (ii):** reference works disagree whether 1582 or 1663 constitutes institutional founding; the 1664 commission’s full aim text and exact present holding require confirmation.	states
Board of Trade and Plantations	states / administrations	Complete under dissolution branch of (iii).	states
United States Post Office Department	states / administrations	Complete under dissolution/reorganization branch.	states
British Foreign Office	states / administrations	**Incomplete (ii):** no discrete founding commission or statute stating the Office’s own aims was located; the archival description supplies its remit retrospectively.	states
British Home Office	states / administrations	**Incomplete (ii):** no single founding text stating aims was identified; functions derived from royal prerogative and multiple statutes.	states
United States Department of State	states / administrations	Complete.	states
United States Department of the Treasury	states / administrations	Complete.	states
General Land Office	states / administrations	Complete under dissolution/merger branch.	states
Conseil d’État (France)	states / administrations	Complete, though constitutional regimes repeatedly changed its powers.	states
Colonial Office (separate department)	states / administrations	**Incomplete (ii):** exact contemporaneous founding instrument expressing aims not identified.	states
