name	domain	notes	source
Providence Society for Abolishing the Slave Trade	reform movements	Documented end, but continuity contains a long dormancy.	reform
Royal Society for the Prevention of Cruelty to Animals	reform movements	Meets ≥150-year branch.	reform
Society for Effecting the Abolition of the Slave Trade	reform movements	Exact legal dissolution and explicit founding constitution not located. | wiki: end-date confirmation	reform
Washingtonian Temperance Society	reform movements	No centralized dissolution date or complete terminal record trail.	reform
Woman’s Christian Temperance Union	reform movements	Meets ≥150-year branch.	reform
Arya Samaj	religions	Exact archive location and full authoritative edition of the original 1875 twenty-eight rules remain incomplete.	religions
Baháʼí community	religions	criteria i–ii incomplete	wikipedia-lister
Brahmo Samaj	religions	Incomplete duration evidence: a centralized continuous record trail was not identified; later schisms produced several samajes.	religions
Carmelite Order	religions	Incomplete criterion ii: Albert, not the hermits collectively, issued the first rule; founding date is conventional.	religions
Carthusian Order	religions	—	religions
Church of Jesus Christ of Latter-day Saints	religions	Several successor churches claim continuity from the 1830 body; this row denotes the Utah-headquartered LDS Church. | wiki: no surviving 1830 manuscript	religions
Cistercian Order	religions	Dating of the surviving *Exordium Parvum* recension is disputed, with proposals extending into the later 12th century.	religions
Congregation of the Mission / Vincentians	religions	—	religions
Dominican Order / Order of Preachers	religions	—	religions
Franciscan Order / Friars Minor	religions	First 1209 rule does not survive independently; 1221 is the earliest surviving organizational text.	religions
Knights Hospitaller / Order of St John	religions	Founding year is not singular; 1113 is the narrow formal-recognition date.	religions
Knights Templar	religions	Incomplete criterion ii: the rule was finalized by a church council, although Hugh of Payns presented the order’s practices and proposals.	religions
Methodist Episcopal Church	religions	No formal minutes of the 1784 conference survive; the resulting *Discipline* supplies the organizational record.	religions
Methodist United Societies	religions	identity incomplete	wikipedia-lister
Moravian Church / Unitas Fratrum	religions	Incomplete criterion ii for the 1457 organization; institutional continuity across suppression and 1727 renewal is contested.	religions
Order of Friars Minor Capuchin	religions	—	religions
Order of Saint Augustine / Augustinian Hermits	religions	Pre-1290 laws existed but their complete text and repositories were not established.	religions
Order of Saint Benedict / Benedictines	religions	Incomplete: Britannica stresses that autonomous monasteries do not constitute one continuously governed order; 529 is conventional.	religions
Poor Clares / Order of St Clare	religions	Earlier rules were imposed or adapted externally; Clare’s own 1253 rule is the clearest organization-issued source.	religions
Premonstratensian Order / Norbertines	religions	Exact text and present repository of the 1121 formulary were not established in this search.	religions
Religious Society of Friends	religions	organizational founding is a narrow range	wikipedia-lister
Religious Society of Friends / Quakers	religions	1652 marks emergence, not a single constitutive meeting.	religions
Salvation Army / Christian Mission	religions		wikipedia-lister
Servite Order	religions	Earliest narrative, *Legenda de Origine*, is later and partly hagiographic; exact repository of the oldest constitution manuscript remains incomplete.	religions
Seventh-day Adventist Church / General Conference	religions	—	religions
Society of Jesus	religions	continuity criterion likely fails	wikipedia-lister
Society of Jesus / Jesuits	religions	Treat either as documented dissolution in 1773 or as disputed continuity through the Russian remnant.	religions
Tenrikyo	religions	Incomplete: earliest written own-source found is 28 years after the revelatory founding; legal organization dates later than 1838.	religions
Teutonic Order	religions	Qualifies through documented 1809 dissolution; current body has a discontinuity. Earliest surviving own-issued rule was not securely dated.	religions
Académie des Jeux floraux	scholarly disciplines	ii–iii incomplete	wikipedia-lister
Académie des Jeux floraux / Consistori del Gay Saber	scholarly disciplines	Continuity is interrupted, but documentary succession is extensive.	scholarly
Académie française	scholarly disciplines	continuity gap	wikipedia-lister
Académie française, original/restored body	scholarly disciplines	Original body qualifies through dissolution; modern continuity crosses legal suppression.	scholarly
Académie royale des sciences, original body	scholarly disciplines	No written statute during first 33 years; 1699 instrument is earliest located aim-bearing statute.	scholarly
Accademia dei Lincei	scholarly disciplines	iii likely fails	wikipedia-lister
Accademia dei Lincei, original body	scholarly disciplines	Modern Lincei is a revival, not continuous with the original body.	scholarly
Accademia della Crusca	scholarly disciplines	Original organization qualifies through documented dissolution; later body is a succession case. | wiki: continuity ambiguous	scholarly
American Academy of Arts and Sciences	scholarly disciplines	Meets all criteria.	scholarly
American Philosophical Society	scholarly disciplines	Possible mid-century inactivity/consolidation complicates strict continuity.	scholarly
American Society for Premodern Asia, formerly American Oriental Society	scholarly disciplines	Meets all criteria; source disagreement over exact organization/charter date is retained.	scholarly
Berlin Society/Prussian Academy of Sciences	scholarly disciplines	Original academy qualifies through documented dissolution; modern BBAW is reconstitution.	scholarly
British Association for the Advancement of Science	scholarly disciplines	War-year interruptions affected meetings, not necessarily corporate existence.	scholarly
Chemical Society of London	scholarly disciplines	Original society qualifies through documented 1980 merger/end.	scholarly
French Academy of Sciences	scholarly disciplines	continuity ambiguous	wikipedia-lister
Geological Society of London	scholarly disciplines	Meets all criteria.	scholarly
Leopoldina	scholarly disciplines	Meets all criteria.	scholarly
Linnean Society of London	scholarly disciplines	Meets all criteria.	scholarly
Royal Astronomical Society	scholarly disciplines	Meets all criteria.	scholarly
Royal Dublin Society	scholarly disciplines	Location of original 1731 minute/instrument not confirmed in this search.	scholarly
Royal Geographical Society	scholarly disciplines	Merger changed legal form, but record trail and institutional succession are explicit.	scholarly
Royal Historical Society	scholarly disciplines	Meets all criteria.	scholarly
Royal Irish Academy	scholarly disciplines	Meets all criteria.	scholarly
Royal Society	scholarly disciplines		wikipedia-lister
Royal Society of Antiquaries of Ireland	scholarly disciplines	Exact repository/call number for founding constitution not located.	scholarly
Royal Society of Edinburgh	scholarly disciplines	Meets all criteria.	scholarly
Royal Society of London	scholarly disciplines	Meets all criteria.	scholarly
Royal Statistical Society	scholarly disciplines	Exact primary-source repository not established	guilds
Society of Antiquaries of London	scholarly disciplines	Meets all criteria using 1717 as secure organizational start.	scholarly
Society of Antiquaries of Scotland	scholarly disciplines	Meets all criteria.	scholarly
Sodalitas Litterarum Vistulana	scholarly disciplines	end incomplete	wikipedia-lister
Austrian Empire	states / administrations	continuity needs coding	wikipedia-lister
Belgium	states / administrations		wikipedia-lister
Board of Admiralty	states / administrations	**Founding identity ambiguity:** 1628 first commission versus 1708 permanent administrative form. Both dates retained.	states
Board of Trade and Plantations	states / administrations	Complete under dissolution branch of (iii).	states
British Foreign Office	states / administrations	**Incomplete (ii):** no discrete founding commission or statute stating the Office’s own aims was located; the archival description supplies its remit retrospectively.	states
British Home Office	states / administrations	**Incomplete (ii):** no single founding text stating aims was identified; functions derived from royal prerogative and multiple statutes.	states
British Privy Council	states / administrations	**Incomplete (ii):** the first register documents the Council’s actions but no discrete founding rule or constitution stating its aims was located.	states
Canada	states / administrations		wikipedia-lister
Colonial Office (separate department)	states / administrations	**Incomplete (ii):** exact contemporaneous founding instrument expressing aims not identified.	states
Conseil d’État (France)	states / administrations	Complete, though constitutional regimes repeatedly changed its powers.	states
Council of the Indies	states / administrations	Temporarily abolished and restored before final dissolution; continuity was not uninterrupted. Dissolution-and-record-trail branch of criterion (iii) applies.	states
Danish Secret Archive (Gehejmearkivet)	states / administrations	**Incomplete (i), (ii):** reference works disagree whether 1582 or 1663 constitutes institutional founding; the 1664 commission’s full aim text and exact present holding require confirmation.	states
General Land Office	states / administrations	Complete under dissolution/merger branch.	states
German Empire	states / administrations	<150 years	wikipedia-lister
Kingdom of Italy	states / administrations		wikipedia-lister
Kingdom of Norway	states / administrations		wikipedia-lister
Kingdom of the Netherlands	states / administrations		wikipedia-lister
Swedish National Archives (Riksarkivet)	states / administrations	Complete.	states
Swiss federal state	states / administrations		wikipedia-lister
United States Department of State	states / administrations	Complete.	states
United States Department of the Treasury	states / administrations	Complete.	states
United States Post Office Department	states / administrations	Complete under dissolution/reorganization branch.	states
United States federal government	states / administrations		wikipedia-lister
